time;I(D5);P(D5);
0.000259301;-0.00489334;0.0231777;
0.000261301;-0.00472491;0.0223776;
0.000263301;-0.00489333;0.0231776;
0.000265301;-0.00472493;0.0223777;
0.000267301;-0.00489331;0.0231776;
0.000269301;-0.00472495;0.0223778;
0.000271301;-0.0048933;0.0231775;
0.000273301;-0.00472497;0.0223779;
0.000275301;-0.00489329;0.0231774;
0.000277301;-0.00472498;0.022378;
0.000279301;-0.00489327;0.0231774;
0.000281301;-0.004725;0.0223781;
0.000283301;-0.00489326;0.0231773;
0.000285301;-0.00472502;0.0223781;
0.000287301;-0.00489325;0.0231773;
0.000289301;-0.00472503;0.0223782;
0.000291301;-0.00489324;0.0231772;
0.000293301;-0.00472505;0.0223783;
0.000295301;-0.00489323;0.0231772;
0.000297301;-0.00472506;0.0223784;
0.000299301;-0.00489322;0.0231771;
0.000301301;-0.00472508;0.0223784;
0.000303301;-0.00489321;0.0231771;
0.000305301;-0.00472509;0.0223785;
0.000307301;-0.0048932;0.023177;
0.000309301;-0.00472511;0.0223786;
0.000311301;-0.00489319;0.023177;
0.000313301;-0.00472512;0.0223787;
0.000315301;-0.00489318;0.0231769;
0.000317301;-0.00472514;0.0223787;
0.000319301;-0.00489317;0.0231769;
0.000321301;-0.00472515;0.0223788;
0.000323301;-0.00489316;0.0231768;
0.000325301;-0.00472517;0.0223789;
0.000327301;-0.00489315;0.0231768;
0.000329301;-0.00472518;0.0223789;
0.000331301;-0.00489314;0.0231767;
0.000333301;-0.0047252;0.022379;
0.000335301;-0.00489313;0.0231767;
0.000337301;-0.00472521;0.0223791;
0.000339301;-0.00489312;0.0231766;
0.000341301;-0.00472523;0.0223792;
0.000343301;-0.00489311;0.0231766;
0.000345301;-0.00472524;0.0223792;
0.000347301;-0.0048931;0.0231765;
0.000349301;-0.00472526;0.0223793;
0.000351301;-0.00489309;0.0231765;
0.000353301;-0.00472527;0.0223794;
0.000355301;-0.00489308;0.0231764;
0.000357301;-0.00472528;0.0223795;
0.000359301;-0.00489307;0.0231764;
0.000361301;-0.0047253;0.0223795;
0.000363301;-0.00489306;0.0231763;
