v-sweep;V(/a);V(/b);
2.33;2.33;0.712114;
2.34;2.34;0.712383;
2.35;2.35;0.712649;
2.36;2.36;0.712913;
2.37;2.37;0.713174;
2.38;2.38;0.713433;
2.39;2.39;0.713689;
2.4;2.4;0.713943;
2.41;2.41;0.714194;
2.42;2.42;0.714443;
2.43;2.43;0.71469;
2.44;2.44;0.714935;
2.45;2.45;0.715177;
2.46;2.46;0.715418;
2.47;2.47;0.715656;
2.48;2.48;0.715892;
2.49;2.49;0.716126;
2.5;2.5;0.716358;
2.51;2.51;0.716588;
2.52;2.52;0.716817;
2.53;2.53;0.717043;
2.54;2.54;0.717267;
2.55;2.55;0.71749;
2.56;2.56;0.717711;
2.57;2.57;0.71793;
2.58;2.58;0.718147;
2.59;2.59;0.718363;
2.6;2.6;0.718576;
2.61;2.61;0.718788;
2.62;2.62;0.718999;
2.63;2.63;0.719208;
2.64;2.64;0.719415;
2.65;2.65;0.719621;
2.66;2.66;0.719825;
2.67;2.67;0.720027;
2.68;2.68;0.720228;
2.69;2.69;0.720428;
2.7;2.7;0.720626;
2.71;2.71;0.720823;
2.72;2.72;0.721018;
2.73;2.73;0.721212;
2.74;2.74;0.721404;
2.75;2.75;0.721595;
2.76;2.76;0.721785;
2.77;2.77;0.721973;
2.78;2.78;0.72216;
2.79;2.79;0.722346;
2.8;2.8;0.722531;
2.81;2.81;0.722714;
2.82;2.82;0.722896;
2.83;2.83;0.723077;
2.84;2.84;0.723256;
2.85;2.85;0.723435;
2.86;2.86;0.723612;
2.87;2.87;0.723788;
2.88;2.88;0.723963;
2.89;2.89;0.724137;
2.9;2.9;0.724309;
2.91;2.91;0.724481;
2.92;2.92;0.724651;
2.93;2.93;0.72482;
2.94;2.94;0.724989;
2.95;2.95;0.725156;
2.96;2.96;0.725322;
2.97;2.97;0.725487;
2.98;2.98;0.725652;
2.99;2.99;0.725815;
3;3;0.725977;
3.01;3.01;0.726138;
3.02;3.02;0.726298;
3.03;3.03;0.726458;
3.04;3.04;0.726616;
3.05;3.05;0.726773;
3.06;3.06;0.72693;
3.07;3.07;0.727085;
3.08;3.08;0.72724;
3.09;3.09;0.727394;
3.1;3.1;0.727547;
3.11;3.11;0.727699;
3.12;3.12;0.72785;
3.13;3.13;0.728;
3.14;3.14;0.72815;
3.15;3.15;0.728298;
3.16;3.16;0.728446;
3.17;3.17;0.728593;
3.18;3.18;0.728739;
3.19;3.19;0.728885;
3.2;3.2;0.729029;
3.21;3.21;0.729173;
3.22;3.22;0.729316;
3.23;3.23;0.729458;
3.24;3.24;0.7296;
3.25;3.25;0.729741;
3.26;3.26;0.729881;
3.27;3.27;0.73002;
3.28;3.28;0.730158;
3.29;3.29;0.730296;
3.3;3.3;0.730433;
3.31;3.31;0.73057;
3.32;3.32;0.730706;
3.33;3.33;0.730841;
3.34;3.34;0.730975;
3.35;3.35;0.731109;
3.36;3.36;0.731242;
3.37;3.37;0.731374;
3.38;3.38;0.731506;
3.39;3.39;0.731637;
3.4;3.4;0.731767;
3.41;3.41;0.731897;
3.42;3.42;0.732026;
3.43;3.43;0.732155;
3.44;3.44;0.732283;
3.45;3.45;0.73241;
3.46;3.46;0.732537;
3.47;3.47;0.732663;
3.48;3.48;0.732788;
3.49;3.49;0.732913;
3.5;3.5;0.733037;
3.51;3.51;0.733161;
3.52;3.52;0.733284;
3.53;3.53;0.733407;
3.54;3.54;0.733529;
3.55;3.55;0.73365;
3.56;3.56;0.733771;
3.57;3.57;0.733892;
3.58;3.58;0.734011;
3.59;3.59;0.734131;
3.6;3.6;0.734249;
3.61;3.61;0.734368;
3.62;3.62;0.734485;
3.63;3.63;0.734602;
3.64;3.64;0.734719;
3.65;3.65;0.734835;
3.66;3.66;0.734951;
3.67;3.67;0.735066;
3.68;3.68;0.735181;
3.69;3.69;0.735295;
3.7;3.7;0.735408;
3.71;3.71;0.735521;
3.72;3.72;0.735634;
3.73;3.73;0.735746;
3.74;3.74;0.735858;
3.75;3.75;0.735969;
3.76;3.76;0.73608;
3.77;3.77;0.73619;
3.78;3.78;0.7363;
3.79;3.79;0.73641;
3.8;3.8;0.736519;
3.81;3.81;0.736627;
3.82;3.82;0.736735;
3.83;3.83;0.736843;
3.84;3.84;0.73695;
3.85;3.85;0.737057;
3.86;3.86;0.737163;
3.87;3.87;0.737269;
3.88;3.88;0.737375;
3.89;3.89;0.73748;
3.9;3.9;0.737584;
3.91;3.91;0.737688;
3.92;3.92;0.737792;
3.93;3.93;0.737896;
3.94;3.94;0.737999;
3.95;3.95;0.738101;
3.96;3.96;0.738204;
3.97;3.97;0.738305;
3.98;3.98;0.738407;
3.99;3.99;0.738508;
4;4;0.738608;
4.01;4.01;0.738709;
4.02;4.02;0.738809;
4.03;4.03;0.738908;
4.04;4.04;0.739007;
4.05;4.05;0.739106;
4.06;4.06;0.739205;
4.07;4.07;0.739303;
4.08;4.08;0.7394;
4.09;4.09;0.739498;
4.1;4.1;0.739594;
4.11;4.11;0.739691;
4.12;4.12;0.739787;
4.13;4.13;0.739883;
4.14;4.14;0.739979;
4.15;4.15;0.740074;
