time;I(D4);I(D5);I(D6);I(D7);
6.45e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
6.55e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
6.65e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
6.75e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
6.85e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
6.95e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
7.05e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
7.15e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
7.25e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
7.35e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
7.45e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
7.55e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
7.65e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
7.75e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
7.85e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
7.95e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
8.05e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
8.15e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
8.25e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
8.35e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
8.45e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
8.55e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
8.65e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
8.75e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
8.85e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
8.95e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
9.05e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
9.15e-05;0.023;-0.00483133;-0.00220679;-1.12116e-11;
9.25e-05;0.023;-0.00483132;-0.00220679;-1.12116e-11;
